SkillId,EffectOrder,EffectType,ValueA,ValueB,Duration
warrior_s1,1,atk_combo_boost,0.25,0,0
warrior_s2,1,debuff_enemy_atk,0.30,0,1
warrior_s3,1,convert_to_fixed,0,0,0
warrior_s4,1,damage_aoe,0,0,0
bishop_s1,1,heal_lowest,0,0,0
bishop_s2,1,enhance_random_puzzle,0.10,0,0
bishop_s3,1,damage_aoe,0,0,0
bishop_s4,1,buff_party_atk,0.33,0,1
bishop_s4,2,buff_party_dmg_reduce,0.33,0,1
marksman_s1,1,buff_incoming_damage,0.30,0,1
marksman_s2,1,buff_incoming_damage,0.30,0,1
marksman_s3,1,damage_final_mult,2.0,0,0
marksman_s4,1,convert_to_fixed,0,0,0
shadower_s1,1,steal_atk,0.20,0,1
shadower_s2,1,damage_final_mult,2.0,0,0
shadower_s3,1,attack_target_back,0,0,0
shadower_s4,1,attack_target_back,0,0,0
shadower_s4,2,convert_to_fixed,0,0,0
viper_s1,1,attack_target_front3,3,0,0
viper_s2,1,atk_match_boost,0.25,0,0
viper_s3,1,damage_final_mult,1.5,0,0
viper_s3,2,buff_self_atk,0.30,0,0
viper_s4,1,damage_aoe,0,0,0
