VisualType,SoundRUID,MonsterSoundRUID,ScreenEffectRUID,ScreenPlayRate,HeroEffectRUID,HeroPlayRate,MonsterEffectRUID,MonsterPlayRate,EffectCategory,HeroFlipX,HeroScale,HeroOffsetX,HeroOffsetY,HeroPreserveSprite,ProjectileDuration,ProjectileEffectRUID,ProjectileFlipX,ProjectileScale,MonsterOffsetX,MonsterOffsetY,MonsterScale,HeroEffectRUID2,HeroEffectRUID3,MonsterEffectRUID2,MonsterEffectRUID3,ScreenEffectRUID2,ScreenEffectRUID3
warrior_slash,ca35cb7d0652411395a5bb90a5beecd3,,,1,a0ed97b38ce04e0ba8c2b6141a859d31,1,c3b6f68c02ff44a7b1b05305437759a8,1,attack,true,2,0,0,,,,,,0,0,1,,,,,,
warrior_combo,4b254b65adbe4df4885acbe2e2fa3671,,,1,03512562e2e9476d93fcf7cb75e57dbb,1.5,,1,buff,false,1,5,90,,,,,,0,0,1,,,,,,
warrior_debuff,3253d36a34f6400f96d4abba424f92b1,,,1,27924d03241145fa969ccb96f5381a4d,1.5,,1,debuff,true,0.8,0,50,,,,,,0,0,1,,,,,,
warrior_fixed,e3dedc59193f4ca586a1248794391ece,e3dedc59193f4ca586a1248794391ece,,1,7b7ddfbe2f934d79a3917324f3b9c4ff,1.5,27befc38ef744472afb85dc9051eaa25,1,attack,true,0.8,200,80,,,,,,0,0,1,,,,,,
warrior_aoe,b9c62d5fa12f461889d3392164112234,f8840bbb6c5f46fba1afbb90270f15a3,9aac6392c97e4b7f96899d3b02de1cf9,1.2,fa4309d8353440ca8abe6f6992fb7106,1,77462e69be8b48ee96180b6436a4f548,1.5,attack,true,1,0,-50,,,,,,0,0,1,,,,,,
bishop_bolt,5fd9ddc5564648d1bffc21f3407ecf51,ab4202ad4cac42a397a120a335bb038f,,1,,1,6beb8d728a7d4cca92eb7f4d2d9c45f9,1,attack,true,1,0,0,,0.4,d393500fd23f4537a2dd1f65089fc4a1,true,3,0,0,1,,,,,,
bishop_heal,a1a425ae3c1c49afa068ee212676c5dc,a1a425ae3c1c49afa068ee212676c5dc,,1,32317a7b7048458fbdba695783694cfc,0.8,c79686d1b19444219e8c7f4d20ff8f56,1,heal,false,1,0,-50,,,,,,0,0,1,,,,,,
bishop_genesis,d07011d88da0400e8018379396e564b9,039d09d0013640b182a7588ac2d34553,,1,1c434f7cecf94e1cb16b68ee0079b01d,1.4,236a5855f26a4cbeb405a2e6446bef4e,2,attack,false,1,0,-50,,,,,,0,-50,1.5,,,,,,
bishop_pray,bb479ae96558496dba27e1f2ce589601,,,1,de213bf5a58c43a1b8347647524d4198,1,,1,buff,false,1,0,-100,,,,,,0,0,1,c858d95ed891475dad245f7aae92da36,,,,,
marksman_arrow,2790a74852a94b1fa83d562843f3ade1,b4c345306d4948f1a0b8cc787fd57bef,,1,2ed6be9152eb4bf0b22f4ca6e6fff9fe,0.8,84a473e004a34fdea67aa74a87dc75c6,1,attack,true,1.5,60,-20,None,0.2,64f775829e234918bd65e9d22214bb06,true,3,0,0,1,,,,,,
marksman_pierce,a25d89fe1bea477eb6ab5039ef76dd32,2fb0536b6932420fbf9e88e017853d33,,1,bebb67613a894f858be490d4a3e62216,1,a2052fbfbbd94064b29dd3c1c651d65f,1,debuff,true,1,50,-50,,0.4,966a6d854fe540939a947e6d488a0bb4,true,3,0,0,1,,,,,,
marksman_pierce2,a25d89fe1bea477eb6ab5039ef76dd32,2fb0536b6932420fbf9e88e017853d33,,1,5fa8fcd8778a4a87b930573c5133a686,1,c75a04e61b964f95908f8217b8ced52d,1,debuff,true,1,50,-50,,0.4,1923e5406af44149a7575b25593e9336,true,3,0,0,1,,,,,,
marksman_bulls_eye,bb1c25d651204b0d83fde7d66eaf9aea,,,1,92b4426d726349db95c42cd7c41626ea,1,,1,buff,false,1,0,-150,,,,,,0,0,1,,,,,,
marksman_snipe,1fa8bbf7adfd40c4a4709c110b9033be,e8eccd46590a4b1ea924da242f4532e9,,1,6c7b4f7910af41dfbe1348eaf2f8c9e6,1,64224b19c0aa4359963ab551d5862cfd,1,attack,true,1,50,-50,,,,,,0,0,1,,,3cb38c4ac87045ab892cd9ff235e261e,,,
shadower_slash,ca4f802052184c0ba47f6971fde80bd0,,,1,8de01c7022964b1b9d6cf96070073446,1,8de01c7022964b1b9d6cf96070073446,1,attack,false,1,0,0,,,,,,0,0,1,,,,,,
shadower_steal,934e8d9af9ec4b10a9cc04a87455ef02,,,1,2b700a9fa8c64f59916f87bd80b59d5f,1,bc8884dc5797493794bfbfa2ffe28965,1,debuff,false,2,0,0,,,,,,130,-50,1,,,,,,
shadower_partner,70f5670b603d43ca8c99baf514700064,,,1,b4ca24127df249b193c2f108327c32f1,1,,1,buff,false,1,-30,-50,,,,,,0,0,1,,,,,,
shadower_assassin,f56f8b7a7679423ca9e5481febd1e669,d02ad2c1950846cc865dc2d041036564,,1,048da9ebef5f4e4e9dbc97fd5d67874c,1,24b3e1cedcba41e7a6bd2d19ffc87b73,1,attack,false,2,0,-100,,,,,,300,0,1,,,a8261d476cc842a69ffe4df2f72a8c77,,,
shadower_final,3a047b42f961404b879cd7e6ad54f0c2,52ed2d0edaff42128e3177e131759fcd,,1,347ccb308c4d45dc8e313c7c161b360c,0.8,e708f3ef2c034c28b77b1ad01984a03e,1.5,attack,true,0.5,0,-50,,,,,,0,0,1,,,e84771c28d6642318e959913ca9b702a,,,
viper_kick,85398b7f1a5340469034ff1f67e6b412,1b54e03352ae4430ae39be54d2ee88f4,,1,ce6326eea3ce460dae93974f0196802e,1,20b3a64d4bd04235947c883e98cfc57b,1,attack,true,1,0,-50,,,,,,0,0,1,,,,,,
viper_burst,6d9d7f0d0c5e4b8f891788722aff5395,1b536a49aabb430ca40a3e39c4f1a986,,1,42549f8efb334213abd1422fa4b4fc4f,1,3acb748b7aef49bc8666c22e4a58e201,1,attack,true,1,300,-50,,,,,,0,0,1,,,,,,
viper_dice,088ea05bcc1a45c3ba22a8bbdb1010cc,,,1,f9fdd0a0cf8a481a81769ce0b85faeef,2,,1,buff,false,1,15,35,,,,,,0,0,1,,,,,,
viper_section,db2aa4391f70475aa18a869bad89c7fb,,,1,cd4a534af61c49ffa7761307984604bd,2,,1,buff,false,1,10,-50,,,,,,0,0,1,,,,,,
