MonsterId,Name,SpriteRUID,AttackRUID,AttackEffect,AttackSound,HitRUID,DieRUID,HPMult,ATKMult,DEFMult,StageType,Scale,AttackTarget
erda_joy,기쁨의 에르다스,1e05a2aad3314c5ea6d05624693feccc,ca55ab04b621436881b9fd58b5a569cd,bf789fa4228044a5b36eb25823768872,7dd860f897084f928a256f364945b35e,75ff15f44460404dbfd4538c60c7b7b1,e6d01c18d3254f64a012c26b11cd543e,1.0,1.0,0.0,Battle,1.0,front
erda_anger,분노의 에르다스,e758b055b4664cecb242426b45118b92,2a2cee0884ef44b194126754dfa5d76b,bcfd7dac9d9241b2b36b2db79b866859,4d7b8437af234369ac42d0166d040e07,c88e391c68cf49479f1515aeb69deeea,c88e391c68cf49479f1515aeb69deeea,1.2,1.3,0.0,Battle,1.0,back
erda_sadness,슬픔의 에르다스,fb74653631524b6ba0264018e7a55ec4,88a1706433664db58daf0bac025929b0,b200a5ac190f49b8b08fe200b6ab18ae,b8442e623f2a4b789080e2303308e2e3,d0e1a5d15c7b4d9fac4c37e9903c7417,88f49a4d1e13465c85c4ee82ee045dc1,1.0,0.8,0.5,Battle,1.0,front
erda_pleasure,즐거움의 에르다스,ed5af82bdb34461c8b4cfd07ba664c16,323b6458f5a5481897f5b30177770330,333f5dd49fc844e68238fca5a3d12978,a595faedaaf840eca37a765b82222c48,72f41e0be341448583eff50606aea341,3e9104de1f04465a9612f1613cf207c2,0.9,1.0,0.0,Battle,1.0,front
erda_rest,안식의 에르다스,768394d367934beda7ba2d14a61911ce,3ee31faed461486d90e62b2d6a994f48,0881e0dadea94bb1b2b694fe60712365,99cef36f01b549889852f5a2eea29d8b,ab933aa31c824c49a144def4d9b8c269,ab933aa31c824c49a144def4d9b8c269,1.5,1.2,1.0,Elite,1.0,front
erda_lantern,에르다스의 등불,756a76b0a8ce4b81858a995fed8d1cb2,f3289a9bc69a4b1b8e968d2735780a65,653aaa3f6f2342e4bcf6bf2101371cac,66e5f38bb86542058137c89ebfcf6f52,c5a4a3cda3494960af23b63bcf1f4ba1,85333138528949b3bdd16739f63fc947,1.0,1.1,0.0,Elite,1.0,back
erda_strong,강인한 영혼의 에르다스,c235afc8876541519e8a39941852f23e,1c46b4d124964f7ca8260301342e54ef,e839ff01d691481c93430def58949bff,4a942bc883fb492cab9a5c136c75bb8c,7e3a2801dc974d92b7d325dc322b2b5e,b79261e085c9427185e74f13be1c2d14,2.0,1.5,2.0,Battle,1.0,front
erda_rock,암석의 에르다스,73f46d86af8a47269b06292f44e62c76,a63d0acd78c34e04b1b36efef905e9cc,1bd99556db7547d7946b4bf3654bef98,f2379d89e16a4e44974e98aab993526f,52cd6a5e5df84def8bb16e50a98ce373,d3f7fe5e4ea6459cb8d9b348b9cd568f,1.8,1.0,3.0,Battle,1.0,front
erda_fire,화염의 에르다스,715e92f63c094e738af4cb0658572416,5b977d4275f74e5380219ed595d033a8,a3cdc36de9e54fcd82f9bcd25e1d6030,9b2fdbb88e484bceaa1bf3ff3fa8d1dd,2e18cc0f11514ebca75607d66bcd49da,994c3d529d3d45e0973f6b3f74c26499,1.0,2.0,0.0,Battle,1.0,front
arma,아르마,622c9f8ba72c4f198f100f99818b2f9c,43c8790a67ce4e99912bd97db43e38c2,44ab48eb38374993ba07115add6b7efc,3c14e3e82550403989043501f294f696,18ce05e7686b463484428d8a59010a38,fe6eee07a1a04dbbb1ea991832fd42d3,2.5,2.0,1.0,Boss,0.6,front
