GroupId,FloorNum,FloorType,MonsterId,Slots
1,1,Battle,erda_joy,"2,3"
1,1,Battle,erda_anger,"4,5"
1,2,Battle,erda_sadness,"4,5"
1,2,Battle,erda_pleasure,"2,3"
1,3,Elite,erda_rest,5
1,3,Elite,erda_lantern,"2,3"
1,4,Battle,erda_strong,1
1,4,Battle,erda_rock,"2,3"
1,4,Battle,erda_fire,"4,5"
1,5,Boss,arma,1
2,1,Battle,yunana,2
2,1,Battle,ramnana,3
2,1,Battle,pinedeer,4
2,1,Battle,bighorn_pinedeer,5
2,2,Battle,plion,2
2,2,Battle,angry_plion,3
2,2,Battle,unripe_wolfroot,4
2,2,Battle,ripe_wolfroot,5
2,3,Elite,green_catfish,2
2,3,Elite,blue_catfish,3
2,3,Elite,lightturtle,4
2,3,Elite,chief_lightturtle,5
2,4,Battle,krilla,2
2,4,Battle,chief_krilla,3
2,4,Battle,bershark,4
2,4,Battle,chief_bershark,5
2,5,Boss,churup_tree,1
3,1,Battle,water_spirit,1
3,1,Battle,sun_spirit,"2,3"
3,1,Battle,earth_spirit,"4,5"
3,2,Battle,frostcloud_spirit,"2,3"
3,2,Battle,thundercloud_spirit,"4,5"
3,3,Elite,poison_spirit,"2,3"
3,3,Elite,blast_spirit,"4,5"
3,4,Battle,chaos_spirit,2
3,4,Battle,despair_spirit,3
3,4,Battle,grief_spirit,4
3,4,Battle,discord_spirit,5
3,5,Boss,weakened_harmony_spirit,1
4,1,Battle,veritate,"2,3"
4,1,Battle,polar,"4,5"
4,2,Battle,badareli,"2,3,4,5"
4,3,Elite,hyades,"2,3"
4,3,Elite,denebola,"4,5"
4,4,Battle,lily_borea,"2,3"
4,4,Battle,angelus,"4,5"
4,5,Boss,adoratio,1
