Level,SuccessRate,StoneCost,GoldCost,AtkMult,HpMult,SkillCoeffBonus,DowngradeRate,DestroyRate,ProtectStoneCost
1,95,1,100,1.08,1.08,0,0,0,0
2,90,1,150,1.17,1.17,0,0,0,0
3,85,1,200,1.26,1.26,0,0,0,0
4,85,1,250,1.36,1.36,0,0,0,0
5,80,2,500,1.47,1.47,0.1,0,0,0
6,75,2,600,1.59,1.59,0,0,0,0
7,70,2,700,1.71,1.71,0,0,0,0
8,65,2,800,1.85,1.85,0,0,0,0
9,60,2,900,2.0,2.0,0,0,0,0
10,55,3,1200,2.16,2.16,0.1,0,0,0
11,50,3,1400,2.37,2.37,0,0,0,0
12,45,3,1600,2.61,2.61,0,0,0,0
13,40,3,1800,2.87,2.87,0,60,0,0
14,30,3,2000,3.16,3.16,0,70,0,0
15,30,5,3000,3.48,3.48,0.1,70,0,0
16,30,5,3500,3.82,3.82,0,67,3,5
17,30,5,4000,4.21,4.21,0,67,3,5
18,30,5,4500,4.63,4.63,0,65,5,5
19,30,5,5000,5.09,5.09,0,65,5,5
20,30,8,7000,5.6,5.6,0.1,63,7,8
21,30,8,8000,7.95,7.95,0,63,7,8
22,30,8,9000,11.29,11.29,0,59,11,8
23,30,8,10000,16.03,16.03,0,50,20,8
24,10,8,11000,22.77,22.77,0,50,40,8
25,5,10,15000,32.33,32.33,0.1,46,49,10
